AlbumId,songId,Track Number,Track Name
1,660,1,Tim McGraw
1,661,2,Picture to Burn
1,662,3,Teardrops On My Guitar
1,663,4,A Place In This World
1,664,5,Cold as You
1,665,6,The Outside
1,666,7,Tied Together with a Smile
1,667,8,Stay Beautiful
1,668,9,Shouldve Said No
1,669,10,Marys Song (Oh My My My)
1,670,11,Our Song
1,671,12,Im Only Me When Im With You
1,672,13,Invisible
1,673,14,A Perfectly Good Heart
1,674,15,Teardrops on My Guitar (Pop Version)
1,675,16,Taylor Swift [Liner Notes]
2,197,1,Jump Then Fall
2,198,2,Untouchable
2,199,3,Forever & Always (Piano Version)
2,200,4,Come In With the Rain
2,201,5,SuperStar
2,202,6,The Other Side Of The Door
2,203,7,Fearless
2,204,8,Fifteen
2,205,9,Love Story
2,206,10,Hey Stephen
2,207,11,White Horse
2,208,12,You Belong With Me
2,209,13,Breathe
2,210,14,Tell Me Why
2,211,15,Youre Not Sorry
2,212,16,The Way I Loved You
2,213,17,Forever & Always
2,214,18,The Best Day
2,215,19,Change
3,565,1,Mine
3,566,2,Sparks Fly
3,567,3,Back to December
3,568,4,Speak Now
3,569,5,Dear John
3,570,6,Mean
3,571,7,The Story Of Us
3,572,8,Never Grow Up
3,573,9,Enchanted
3,574,10,Better Than Revenge
3,575,11,Innocent
3,576,12,Haunted
3,577,13,Last Kiss
3,578,14,Long Live
4,472,1,State of Grace
4,473,2,Red
4,474,3,Treacherous
4,475,4,I Knew You Were Trouble
4,476,5,All Too Well
4,477,6,22
4,478,7,I Almost Do
4,479,8,We Are Never Ever Getting Back Together
4,480,9,Stay Stay Stay
4,481,10,The Last Time
4,482,11,Holy Ground
4,483,12,Sad Beautiful Tragic
4,484,13,The Lucky One
4,485,14,Everything Has Changed
4,486,15,Starlight
4,487,16,Begin Again
4,488,17,The Moment I Knew
4,489,18,Come Back... Be Here
4,490,19,Girl at Home
5,2,1,Welcome to New York
5,3,2,Blank Space
5,4,3,Style
5,5,4,Out Of The Woods
5,6,5,All You Had to Do Was Stay
5,7,6,Shake It Off
5,8,7,I Wish You Would
5,9,8,Bad Blood
5,10,9,Wildest Dreams
5,11,10,How You Get The Girl
5,12,11,This Love
5,13,12,I Know Places
5,14,13,Clean
5,15,14,1989 [Booklet]
6,546,1,...Ready for It?
6,547,2,End Game
6,548,3,I Did Something Bad
6,549,4,Dont Blame Me
6,550,5,Delicate
6,551,6,Look What You Made Me Do
6,552,7,So It Goes...
6,553,8,Gorgeous
6,554,9,Getaway Car
6,555,10,King of My Heart
6,556,11,Dancing With Our Hands Tied
6,557,12,Dress
6,558,13,This Is Why We Cant Have Nice Things
6,559,14,Call It What You Want
6,560,15,New Years Day
6,561,16,Reputation Magazine Vol. 1
6,562,17,Reputation [Prologue]
6,563,18,Why She Disappeared [Poem]
6,564,19,If Youre Anything Like Me [Poem]
7,305,1,I Forgot That You Existed
7,306,2,Cruel Summer
7,307,3,Lover
7,308,4,The Man
7,309,5,The Archer
7,310,6,I Think He Knows
7,311,7,Miss Americana & The Heartbreak Prince
7,312,8,Paper Rings
7,313,9,Cornelia Street
7,314,10,Death By A Thousand Cuts
7,315,11,London Boy
7,316,12,Soon Youll Get Better
7,317,13,False God
7,318,14,You Need To Calm Down
7,319,15,Afterglow
7,320,16,ME!
7,321,17,Its Nice To Have A Friend
7,322,18,Daylight
8,267,1,the 1
8,268,2,cardigan
8,269,3,the last great american dynasty
8,270,4,exile
8,271,5,my tears ricochet
8,272,6,mirrorball
8,273,7,seven
8,274,8,august
8,275,9,this is me trying
8,276,10,illicit affairs
8,277,11,invisible string
8,278,12,mad woman
8,279,13,epiphany
8,280,14,betty
8,281,15,peace
8,282,16,hoax
9,115,1,willow
9,116,2,champagne problems
9,117,3,gold rush
9,118,4,tis the damn season
9,119,5,tolerate it
9,120,6,"no body, no crime"
9,121,7,happiness
9,122,8,dorothea
9,123,9,coney island
9,124,10,ivy
9,125,11,cowboy like me
9,126,12,long story short
9,127,13,marjorie
9,128,14,closure
9,129,15,evermore
10,342,1,Lavender Haze
10,343,2,Maroon
10,344,3,Anti-Hero
10,345,4,Snow On The Beach
10,346,5,"Youre On Your Own, Kid"
10,347,6,Midnight Rain
10,348,7,Question...?
10,349,8,Vigilante Shit
10,350,9,Bejeweled
10,351,10,Labyrinth
10,352,11,Karma
10,353,12,Sweet Nothing
10,354,13,Mastermind
11,698,1,Fortnight
11,699,2,The Tortured Poets Department
11,700,3,My Boy Only Breaks His Favorite Toys
11,701,4,Down Bad
11,702,5,"So Long, London"
11,703,6,But Daddy I Love Him
11,704,7,Fresh Out The Slammer
11,705,8,Florida!!!
11,706,9,Guilty as Sin?
11,707,10,Whos Afraid of Little Old Me?
11,708,11,I Can Fix Him (No Really I Can)
11,709,12,loml
11,710,13,I Can Do It With A Broken Heart
11,711,14,The Smallest Man Who Ever Lived
11,712,15,The Alchemy
11,713,16,Clara Bow
12,748,1,Fortnight
12,749,2,The Tortured Poets Department
12,750,3,My Boy Only Breaks His Favorite Toys
12,751,4,Down Bad
12,752,5,"So Long, London"
12,753,6,But Daddy I Love Him
12,754,7,Fresh Out The Slammer
12,755,8,Florida!!!
12,756,9,Guilty as Sin?
12,757,10,Whos Afraid of Little Old Me?
12,758,11,I Can Fix Him (No Really I Can)
12,759,12,loml
12,760,13,I Can Do It With A Broken Heart
12,761,14,The Smallest Man Who Ever Lived
12,762,15,The Alchemy
12,763,16,Clara Bow
12,764,17,The Black Dog
12,765,18,imgonnagetyouback
12,766,19,The Albatross
12,767,20,Chloe or Sam or Sophia or Marcus
12,768,21,How Did It End?
12,769,22,So High School
12,770,23,I Hate It Here
12,771,24,thanK you aIMee
12,772,25,I Look in Peoples Windows
12,773,26,The Prophecy
12,774,27,Cassandra
12,775,28,Peter
12,776,29,The Bolter
12,777,30,Robin
12,778,31,The Manuscript
20,216,1,Fearless (Taylors Version)
20,217,2,Fifteen (Taylors Version)
20,218,3,Love Story (Taylors Version)
20,219,4,Hey Stephen (Taylors Version)
20,220,5,White Horse (Taylors Version)
20,221,6,You Belong With Me (Taylors Version)
20,222,7,Breathe (Taylors Version)
20,223,8,Tell Me Why (Taylors Version)
20,224,9,Youre Not Sorry (Taylors Version)
